delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.0732856,AUTOENCODER,0,0,Normal
7.6e-07,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.0732863,AUTOENCODER,0,0,Normal
1.66e-07,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,121,87.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.0732863,AUTOENCODER,2,1,Reconnaissance
0.006136648,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,82,48.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.0794232,AUTOENCODER,2,1,Reconnaissance
0.000565241,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.0799885,AUTOENCODER,0,0,Normal
0.021636982,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1016254,AUTOENCODER,0,0,Normal
0.006805055,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1084304,AUTOENCODER,0,0,Normal
0.025624889,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1340554,AUTOENCODER,0,0,Normal
0.006680204,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1407356,AUTOENCODER,0,0,Normal
0.001218963,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.141955,AUTOENCODER,0,0,Normal
2.8666e-05,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,333,299.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1419833,AUTOENCODER,2,1,Reconnaissance
0.000183871,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,986,952.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.142167,AUTOENCODER,2,1,Reconnaissance
2.78e-07,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,67,33.0,59.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.142167,AUTOENCODER,2,1,Reconnaissance
0.001203463,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,120,86.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.1433709,AUTOENCODER,2,1,Reconnaissance
3.51e-07,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,73,39.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813692.143371,AUTOENCODER,2,1,Reconnaissance
