delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,6241,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8519466,AUTOENCODER,1,1,DDoS_TCP
0.003468815,TCP,192.168.0.103,192.168.0.101,6242,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.855415,AUTOENCODER,1,1,DDoS_TCP
0.004488611,TCP,192.168.0.103,192.168.0.101,6243,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.859904,AUTOENCODER,1,1,DDoS_TCP
0.002547556,TCP,192.168.0.103,192.168.0.101,6244,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8624516,AUTOENCODER,1,1,DDoS_TCP
0.002479,TCP,192.168.0.103,192.168.0.101,6245,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8649306,AUTOENCODER,1,1,DDoS_TCP
0.002133204,TCP,192.168.0.103,192.168.0.101,6246,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8670638,AUTOENCODER,1,1,DDoS_TCP
0.002437129,TCP,192.168.0.103,192.168.0.101,6247,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8695009,AUTOENCODER,1,1,DDoS_TCP
0.002036741,TCP,192.168.0.103,192.168.0.101,6248,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8715377,AUTOENCODER,1,1,DDoS_TCP
0.002093296,TCP,192.168.0.103,192.168.0.101,6249,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.8736308,AUTOENCODER,1,1,DDoS_TCP
0.00227326,TCP,192.168.0.103,192.168.0.101,6250,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.875904,AUTOENCODER,1,1,DDoS_TCP
0.002209703,TCP,192.168.0.103,192.168.0.101,6251,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.878114,AUTOENCODER,1,1,DDoS_TCP
0.042171519,TCP,192.168.0.103,192.168.0.101,6252,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9202857,AUTOENCODER,2,1,Reconnaissance
0.002230666,TCP,192.168.0.103,192.168.0.101,6253,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.922516,AUTOENCODER,1,1,DDoS_TCP
0.005303797,TCP,192.168.0.103,192.168.0.101,6254,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.92782,AUTOENCODER,1,1,DDoS_TCP
0.002247352,TCP,192.168.0.103,192.168.0.101,6255,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9300673,AUTOENCODER,1,1,DDoS_TCP
0.004076259,TCP,192.168.0.103,192.168.0.101,6256,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9341435,AUTOENCODER,1,1,DDoS_TCP
0.002687833,TCP,192.168.0.103,192.168.0.101,6257,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9368312,AUTOENCODER,1,1,DDoS_TCP
0.002313852,TCP,192.168.0.103,192.168.0.101,6258,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.939145,AUTOENCODER,1,1,DDoS_TCP
0.002175296,TCP,192.168.0.103,192.168.0.101,6259,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9413204,AUTOENCODER,1,1,DDoS_TCP
0.002079371,TCP,192.168.0.103,192.168.0.101,6260,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9434,AUTOENCODER,1,1,DDoS_TCP
0.002416944,TCP,192.168.0.103,192.168.0.101,6261,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9458168,AUTOENCODER,1,1,DDoS_TCP
0.002208167,TCP,192.168.0.103,192.168.0.101,6262,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.948025,AUTOENCODER,1,1,DDoS_TCP
0.002183259,TCP,192.168.0.103,192.168.0.101,6263,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9502082,AUTOENCODER,1,1,DDoS_TCP
0.005711019,TCP,192.168.0.103,192.168.0.101,6264,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786822287.9559193,AUTOENCODER,1,1,DDoS_TCP
