delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,UDP,192.168.0.102,255.255.255.255,56700.0,56700.0,78,44.0,64,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806819.1252651,IForest,0,0,Normal
1.050900528,UDP,192.168.0.101,209.250.254.15,60339.0,21116.0,60,22.0,64,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806820.1761658,IForest,0,0,Normal
0.165764836,UDP,209.250.254.15,192.168.0.101,21116.0,60339.0,60,10.0,39,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806820.3419309,IForest,0,0,Normal
2.979998977,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49,-2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786806823.3219297,IForest,0,0,Normal
0.000341906,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64,-2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786806823.3222716,IForest,0,0,Normal
0.233761544,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64,-2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786806823.5560331,IForest,0,0,Normal
0.06165539,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49,-2.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786806823.6176884,IForest,0,0,Normal
4.469562489,SSDP,192.168.0.102,239.255.255.250,-2.0,-2.0,271,237.0,4,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806828.087251,IForest,0,0,Normal
0.072126525,SSDP,192.168.0.102,239.255.255.250,-2.0,-2.0,280,246.0,4,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806828.1593776,IForest,0,0,Normal
0.028467927,SSDP,192.168.0.102,239.255.255.250,-2.0,-2.0,307,273.0,4,-2.0,0,0,1,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786806828.1878457,IForest,0,0,Normal
