delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,5467.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9141364,IForest,1,1,Anómalo
0.001089605,TCP,192.168.0.103,192.168.0.101,5468.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.915226,IForest,1,1,Anómalo
0.003799126,TCP,192.168.0.103,192.168.0.101,5469.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9190252,IForest,1,1,Anómalo
0.001237438,TCP,192.168.0.103,192.168.0.101,5470.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9202623,IForest,1,1,Anómalo
0.001092919,TCP,192.168.0.103,192.168.0.101,5471.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9213555,IForest,1,1,Anómalo
0.001935489,TCP,192.168.0.103,192.168.0.101,5472.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.923291,IForest,1,1,Anómalo
0.001152827,TCP,192.168.0.103,192.168.0.101,5473.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9244435,IForest,1,1,Anómalo
0.002093229,TCP,192.168.0.103,192.168.0.101,5474.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.926537,IForest,1,1,Anómalo
0.001092531,TCP,192.168.0.103,192.168.0.101,5475.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9276297,IForest,1,1,Anómalo
0.00130527,TCP,192.168.0.103,192.168.0.101,5476.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9289348,IForest,1,1,Anómalo
0.001071161,TCP,192.168.0.103,192.168.0.101,5477.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.930006,IForest,1,1,Anómalo
0.00117653,TCP,192.168.0.103,192.168.0.101,5478.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9311824,IForest,1,1,Anómalo
0.002712948,TCP,192.168.0.103,192.168.0.101,5479.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9338956,IForest,1,1,Anómalo
0.001786582,TCP,192.168.0.103,192.168.0.101,5480.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.935682,IForest,1,1,Anómalo
0.00173638,TCP,192.168.0.103,192.168.0.101,5481.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9374185,IForest,1,1,Anómalo
0.001411399,TCP,192.168.0.103,192.168.0.101,5482.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.93883,IForest,1,1,Anómalo
0.002867039,TCP,192.168.0.103,192.168.0.101,5483.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.941697,IForest,1,1,Anómalo
0.001827453,TCP,192.168.0.103,192.168.0.101,5484.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9435244,IForest,1,1,Anómalo
0.001085975,TCP,192.168.0.103,192.168.0.101,5485.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9446104,IForest,1,1,Anómalo
0.001196882,TCP,192.168.0.103,192.168.0.101,5486.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9458072,IForest,1,1,Anómalo
0.002820725,TCP,192.168.0.103,192.168.0.101,5487.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.948628,IForest,1,1,Anómalo
0.001237882,TCP,192.168.0.103,192.168.0.101,5488.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9498658,IForest,1,1,Anómalo
0.001104716,TCP,192.168.0.103,192.168.0.101,5489.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9509704,IForest,1,1,Anómalo
0.001136808,TCP,192.168.0.103,192.168.0.101,5490.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9521072,IForest,1,1,Anómalo
0.00164351,TCP,192.168.0.103,192.168.0.101,5491.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9537508,IForest,1,1,Anómalo
0.001202345,TCP,192.168.0.103,192.168.0.101,5492.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9549532,IForest,1,1,Anómalo
0.002849613,TCP,192.168.0.103,192.168.0.101,5493.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9578028,IForest,1,1,Anómalo
0.001820119,TCP,192.168.0.103,192.168.0.101,5494.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9596229,IForest,1,1,Anómalo
0.001101513,TCP,192.168.0.103,192.168.0.101,5495.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9607244,IForest,1,1,Anómalo
0.001067697,TCP,192.168.0.103,192.168.0.101,5496.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.961792,IForest,1,1,Anómalo
0.001408752,TCP,192.168.0.103,192.168.0.101,5497.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9632008,IForest,1,1,Anómalo
0.001100031,TCP,192.168.0.103,192.168.0.101,5498.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9643009,IForest,1,1,Anómalo
0.002223339,TCP,192.168.0.103,192.168.0.101,5499.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.966524,IForest,1,1,Anómalo
0.001254956,TCP,192.168.0.103,192.168.0.101,5500.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9677792,IForest,1,1,Anómalo
0.00116053,TCP,192.168.0.103,192.168.0.101,5501.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9689395,IForest,1,1,Anómalo
0.001493455,TCP,192.168.0.103,192.168.0.101,5502.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9704332,IForest,1,1,Anómalo
0.001108475,TCP,192.168.0.103,192.168.0.101,5503.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9715416,IForest,1,1,Anómalo
0.001080846,TCP,192.168.0.103,192.168.0.101,5504.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9726224,IForest,1,1,Anómalo
0.001241493,TCP,192.168.0.103,192.168.0.101,5505.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.973864,IForest,1,1,Anómalo
0.001096327,TCP,192.168.0.103,192.168.0.101,5506.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9749603,IForest,1,1,Anómalo
0.006171798,TCP,192.168.0.103,192.168.0.101,5507.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.981132,IForest,1,1,Anómalo
0.001318937,TCP,192.168.0.103,192.168.0.101,5508.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.982451,IForest,1,1,Anómalo
0.001948359,TCP,192.168.0.103,192.168.0.101,5509.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9843993,IForest,1,1,Anómalo
0.001346882,TCP,192.168.0.103,192.168.0.101,5510.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9857464,IForest,1,1,Anómalo
0.001035994,TCP,192.168.0.103,192.168.0.101,5511.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808790.9867823,IForest,1,1,Anómalo
0.042972997,TCP,192.168.0.103,192.168.0.101,5512.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808791.029755,IForest,0,0,Normal
6.2685e-05,TCP,192.168.0.103,192.168.0.101,5513.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808791.029818,IForest,1,1,Anómalo
0.001239141,TCP,192.168.0.103,192.168.0.101,5514.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808791.0310571,IForest,1,1,Anómalo
0.002150766,TCP,192.168.0.103,192.168.0.101,5515.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808791.033208,IForest,1,1,Anómalo
0.001284159,TCP,192.168.0.103,192.168.0.101,5516.0,22.0,60,-2.0,64,-2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1786808791.034492,IForest,1,1,Anómalo
