delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.101,192.168.0.103,80.0,3716.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2078931,IForest,0,0,Normal
0.01082255,TCP,192.168.0.103,192.168.0.101,3717.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2187157,IForest,1,1,Anómalo
0.000340572,TCP,192.168.0.101,192.168.0.103,80.0,3717.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2190564,IForest,0,0,Normal
0.001729306,TCP,192.168.0.103,192.168.0.101,3718.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2207856,IForest,1,1,Anómalo
0.00011024,TCP,192.168.0.101,192.168.0.103,80.0,3718.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2208958,IForest,0,0,Normal
0.003971811,TCP,192.168.0.103,192.168.0.101,3719.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2248676,IForest,1,1,Anómalo
9.2259e-05,TCP,192.168.0.101,192.168.0.103,80.0,3719.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.22496,IForest,0,0,Normal
0.003015909,TCP,192.168.0.103,192.168.0.101,3720.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2279758,IForest,1,1,Anómalo
0.000355498,TCP,192.168.0.101,192.168.0.103,80.0,3720.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.228331,IForest,0,0,Normal
0.016139002,TCP,192.168.0.103,192.168.0.101,3721.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2444704,IForest,1,1,Anómalo
0.000355535,TCP,192.168.0.101,192.168.0.103,80.0,3721.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2448258,IForest,0,0,Normal
0.002878002,TCP,192.168.0.103,192.168.0.101,3722.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.2477038,IForest,1,1,Anómalo
0.000305925,TCP,192.168.0.101,192.168.0.103,80.0,3722.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2480097,IForest,0,0,Normal
0.017689012,TCP,192.168.0.103,192.168.0.101,3723.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.265699,IForest,1,1,Anómalo
2.1444e-05,TCP,192.168.0.103,192.168.0.101,3724.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786807201.26572,IForest,1,1,Anómalo
0.000338887,TCP,192.168.0.101,192.168.0.103,80.0,3723.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2660592,IForest,0,0,Normal
2.22e-07,TCP,192.168.0.101,192.168.0.103,80.0,3724.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786807201.2660592,IForest,0,0,Normal
