delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.845326,KMEANS,19,1,DDoS_TCP
0.001045685,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.846372,KMEANS,19,1,DDoS_TCP
0.000353815,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8467257,KMEANS,7,0,Normal
0.00066737,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8473928,KMEANS,19,1,DDoS_TCP
0.000385982,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8477788,KMEANS,7,0,Normal
0.000671389,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8484504,KMEANS,19,1,DDoS_TCP
0.000383944,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8488345,KMEANS,7,0,Normal
0.000679593,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8495138,KMEANS,19,1,DDoS_TCP
0.000348907,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.8498628,KMEANS,7,0,Normal
0.000671334,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813334.850534,KMEANS,19,1,DDoS_TCP
