delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.839749,KMEANS,22,0,Normal
7.6815e-05,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.839826,KMEANS,22,0,Normal
0.000104315,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.8399303,KMEANS,22,0,Normal
0.000104851,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.8400352,KMEANS,22,0,Normal
0.031100389,UDP,192.168.0.101,172.217.157.117,54475.0,443.0,76,42.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.8711357,KMEANS,13,1,Reconnaissance
0.036446908,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9075823,KMEANS,22,0,Normal
7.9037e-05,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9076614,KMEANS,22,0,Normal
8.8222e-05,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9077497,KMEANS,22,0,Normal
0.000103852,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9078536,KMEANS,22,0,Normal
0.025345426,UDP,192.168.0.101,172.217.157.117,54475.0,443.0,76,42.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9331987,KMEANS,13,1,Reconnaissance
0.038516333,UDP,172.217.157.117,192.168.0.101,443.0,54475.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786813460.9717152,KMEANS,22,0,Normal
