delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.101,2.21.133.25,57762,80,66,-2.0,128,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0828607,KMEANS,12,0,Normal
0.000232407,TCP,192.168.0.103,192.168.0.101,6753,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0830932,KMEANS,26,1,Reconnaissance
0.000747426,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0838404,KMEANS,14,1,Reconnaissance
9.0593e-05,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1786812370.0839312,KMEANS,14,1,Reconnaissance
0.00121737,TCP,192.168.0.103,192.168.0.101,6754,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0851483,KMEANS,26,1,Reconnaissance
2.5241e-05,TCP,192.168.0.101,2.21.133.25,57762,80,66,-2.0,128,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0851736,KMEANS,12,0,Normal
0.002015222,TCP,192.168.0.103,192.168.0.101,6755,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0871887,KMEANS,26,1,Reconnaissance
5.65e-05,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0872457,KMEANS,14,1,Reconnaissance
0.000108963,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1786812370.0873544,KMEANS,14,1,Reconnaissance
8.5e-05,TCP,192.168.0.101,2.21.133.25,57762,80,66,-2.0,128,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0874393,KMEANS,12,0,Normal
0.001828982,TCP,192.168.0.103,192.168.0.101,6756,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0892684,KMEANS,26,1,Reconnaissance
0.000367685,TCP,192.168.0.101,2.21.133.25,57762,80,66,-2.0,128,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.089636,KMEANS,12,0,Normal
0.001016518,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0906527,KMEANS,14,1,Reconnaissance
9.2538e-05,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1786812370.0907452,KMEANS,14,1,Reconnaissance
0.000671462,TCP,192.168.0.103,192.168.0.101,6757,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0914166,KMEANS,26,1,Reconnaissance
0.000528649,TCP,192.168.0.101,2.21.133.25,57762,80,66,-2.0,128,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0919452,KMEANS,12,0,Normal
0.002085611,TCP,192.168.0.103,192.168.0.101,6758,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786812370.0940309,KMEANS,26,1,Reconnaissance
2.2926e-05,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1786812370.0940535,KMEANS,14,1,Reconnaissance
9.7537e-05,TCP,2.21.133.25,192.168.0.101,80,57762,1334,-2.0,54,-2.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1786812370.0941513,KMEANS,14,1,Reconnaissance
