delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,UDP,192.168.0.103,192.168.0.101,8261,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5134664,KMEANS,7,0,Normal
0.004134925,UDP,192.168.0.103,192.168.0.101,8262,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5176015,KMEANS,7,0,Normal
0.003959741,UDP,192.168.0.103,192.168.0.101,8263,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5215611,KMEANS,7,0,Normal
0.00455263,UDP,192.168.0.103,192.168.0.101,8264,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5261135,KMEANS,7,0,Normal
0.003541574,UDP,192.168.0.103,192.168.0.101,8265,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5296557,KMEANS,7,0,Normal
0.002358315,UDP,192.168.0.103,192.168.0.101,8266,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5320137,KMEANS,7,0,Normal
0.003130203,UDP,192.168.0.103,192.168.0.101,8267,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.535144,KMEANS,7,0,Normal
0.003001315,UDP,192.168.0.103,192.168.0.101,8268,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5381453,KMEANS,7,0,Normal
0.00357863,UDP,192.168.0.103,192.168.0.101,8269,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.541724,KMEANS,7,0,Normal
0.002541426,UDP,192.168.0.103,192.168.0.101,8270,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786812607.5442653,KMEANS,7,0,Normal
