delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.100,150.171.109.113,55352.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809736.6400993,OCSVM,0,0,Normal
0.079964362,TCP,150.171.109.113,192.168.0.100,443.0,55352.0,66,-2.0,45.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809736.7200637,OCSVM,0,0,Normal
4.995226293,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809741.71529,OCSVM,0,0,Normal
8.6055e-05,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809741.715376,OCSVM,0,0,Normal
0.231306543,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809741.9466827,OCSVM,0,0,Normal
0.061633151,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809742.0083158,OCSVM,0,0,Normal
1.542784253,TCP,192.168.0.100,150.171.109.118,46496.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809743.5511,OCSVM,0,0,Normal
0.080105139,TCP,150.171.109.118,192.168.0.100,443.0,46496.0,66,-2.0,46.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809743.631205,OCSVM,0,0,Normal
3.063586352,UDP,192.168.0.101,209.250.254.15,43006.0,21116.0,60,22.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809746.6947916,OCSVM,0,0,Normal
0.164895882,UDP,209.250.254.15,192.168.0.101,21116.0,43006.0,60,10.0,46.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809746.859687,OCSVM,0,0,Normal
5.095778909,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809751.9554665,OCSVM,0,0,Normal
6.9444e-05,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809751.9555357,OCSVM,0,0,Normal
0.23141545,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809752.1869512,OCSVM,0,0,Normal
0.061612244,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809752.2485633,OCSVM,0,0,Normal
2.532686115,TPLINK-SMARTHOME/JSON,192.168.0.102,255.255.255.255,-2.0,-2.0,100,66.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809754.7812495,OCSVM,0,0,Normal
1.057862088,TCP,192.168.0.100,150.171.109.117,45392.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809755.8391116,OCSVM,0,0,Normal
0.078213947,TCP,150.171.109.117,192.168.0.100,443.0,45392.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809755.9173255,OCSVM,0,0,Normal
1.621157958,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9281363,OCSVM,0,0,Normal
2.4037e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9281604,OCSVM,0,0,Normal
5.6314e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,119,85.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9282167,OCSVM,0,0,Normal
0.004395531,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,82,48.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9326124,OCSVM,0,0,Normal
0.000925254,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9335375,OCSVM,0,0,Normal
0.00421642,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.937754,OCSVM,0,0,Normal
0.003580591,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9413345,OCSVM,0,0,Normal
0.009236652,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9505713,OCSVM,0,0,Normal
0.003398073,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9539692,OCSVM,0,0,Normal
0.008467711,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.962437,OCSVM,0,0,Normal
0.004072107,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.966509,OCSVM,0,0,Normal
0.007939381,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9744484,OCSVM,0,0,Normal
0.003362814,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.977811,OCSVM,0,0,Normal
0.008008677,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.98582,OCSVM,0,0,Normal
0.004303328,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9901235,OCSVM,0,0,Normal
0.00815412,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809758.9982777,OCSVM,0,0,Normal
0.00341424,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0016916,OCSVM,0,0,Normal
0.003539776,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,1292,1258.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0052316,OCSVM,0,0,Normal
2.326e-05,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,324,290.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0052547,OCSVM,0,0,Normal
0.000198017,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,986,952.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0054529,OCSVM,0,0,Normal
7.4e-08,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,67,33.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0054529,OCSVM,0,0,Normal
0.000247443,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,120,86.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0057003,OCSVM,0,0,Normal
5.887e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,73,39.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0057592,OCSVM,0,0,Normal
0.000212666,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1288,1254.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.005972,OCSVM,0,0,Normal
4.337e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,1292,1258.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0060153,OCSVM,0,0,Normal
8.074e-06,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,477,443.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0060232,OCSVM,0,0,Normal
0.002525578,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,162,128.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0085487,OCSVM,0,0,Normal
0.000451553,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,67,33.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0090003,OCSVM,0,0,Normal
8.5111e-05,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,67,33.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0090857,OCSVM,0,0,Normal
0.000769014,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,71,37.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0098543,OCSVM,0,0,Normal
7.1944e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,73,39.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0099263,OCSVM,0,0,Normal
0.065431759,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,323,289.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0753582,OCSVM,0,0,Normal
0.001416289,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,63,29.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.0767744,OCSVM,0,0,Normal
9.3406e-05,QUIC,192.168.0.101,142.251.155.4,-2.0,-2.0,77,43.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.076868,OCSVM,0,0,Normal
0.028332748,QUIC,142.251.155.4,192.168.0.101,-2.0,-2.0,66,32.0,57.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.1052008,OCSVM,0,0,Normal
0.130621427,UDP,192.168.0.102,255.255.255.255,56700.0,56700.0,78,44.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809759.235822,OCSVM,0,0,Normal
2.959468904,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809762.195291,OCSVM,0,0,Normal
0.000443682,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809762.1957347,OCSVM,0,0,Normal
0.230862898,TCP,192.168.0.101,67.213.116.191,48744.0,443.0,66,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809762.4265976,OCSVM,0,0,Normal
0.061619022,TCP,67.213.116.191,192.168.0.101,443.0,48744.0,66,-2.0,49.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786809762.4882166,OCSVM,0,0,Normal
0.206382258,UDP,192.168.0.101,209.250.254.15,43006.0,21116.0,60,22.0,64.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786809762.694599,OCSVM,0,0,Normal
