delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,3646.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.49624,OCSVM,0,0,Normal
0.000321387,TCP,192.168.0.101,192.168.0.103,80.0,3646.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.4965613,OCSVM,0,0,Normal
0.001931063,TCP,192.168.0.103,192.168.0.101,3647.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.4984925,OCSVM,0,0,Normal
0.000300684,TCP,192.168.0.101,192.168.0.103,80.0,3647.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.4987931,OCSVM,0,0,Normal
0.00305039,TCP,192.168.0.103,192.168.0.101,3648.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.5018437,OCSVM,0,0,Normal
0.000276536,TCP,192.168.0.101,192.168.0.103,80.0,3648.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.50212,OCSVM,0,0,Normal
0.001826008,TCP,192.168.0.103,192.168.0.101,3649.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.503946,OCSVM,0,0,Normal
0.000512738,TCP,192.168.0.101,192.168.0.103,80.0,3649.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.504459,OCSVM,0,0,Normal
0.001555583,TCP,192.168.0.103,192.168.0.101,3650.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.5060143,OCSVM,0,0,Normal
0.000415091,TCP,192.168.0.101,192.168.0.103,80.0,3650.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.5064297,OCSVM,0,0,Normal
0.001727231,TCP,192.168.0.103,192.168.0.101,3651.0,80.0,60,-2.0,64.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786810572.5081568,OCSVM,0,0,Normal
0.00035209,TCP,192.168.0.101,192.168.0.103,80.0,3651.0,60,-2.0,64.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1786810572.5085087,OCSVM,0,0,Normal
