delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
4.760264497,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,400,366.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1550467,DecisionTree,0,0,Normal
0.000182685,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1552296,DecisionTree,0,0,Normal
0.000165389,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,328,294.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1553948,DecisionTree,0,0,Normal
0.000206982,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,392,358.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.155602,DecisionTree,0,0,Normal
0.000257444,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,376,342.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1558592,DecisionTree,0,0,Normal
0.000168,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1560273,DecisionTree,0,0,Normal
0.000270963,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,408,374.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1562984,DecisionTree,0,0,Normal
0.000184185,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,396,362.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1564825,DecisionTree,0,0,Normal
0.000165056,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1566477,DecisionTree,0,0,Normal
0.000205148,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,390,356.0,4.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823828.1568527,DecisionTree,0,0,Normal
34.942471553,DHCP,0.0.0.0,255.255.255.255,68.0,67.0,352,318.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.0993242,DecisionTree,0,0,Normal
0.000499945,DHCP,192.168.0.1,255.255.255.255,67.0,68.0,590,556.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.0998242,DecisionTree,0,0,Normal
0.031982686,DHCPv6,fe80::9dfb:dcbb:1ed0:d677,ff02::1:2,-2.0,-2.0,120,66.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.1354976,DecisionTree,0,0,Normal
0.023557629,LLMNR,fe80::9dfb:dcbb:1ed0:d677,ff02::1:3,-2.0,-2.0,89,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.1590552,DecisionTree,0,0,Normal
9.8111e-05,LLMNR,192.168.0.101,224.0.0.252,-2.0,-2.0,69,35.0,1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.1591537,DecisionTree,0,0,Normal
0.000189648,ARP,192.168.0.1,192.168.0.101,-2.0,-2.0,60,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.4053202,DecisionTree,1,1,Ataque
0.186966111,LLMNR,fe80::9dfb:dcbb:1ed0:d677,ff02::1:3,-2.0,-2.0,89,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.5922863,DecisionTree,0,0,Normal
4.9186e-05,LLMNR,192.168.0.101,224.0.0.252,-2.0,-2.0,69,35.0,1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.5923357,DecisionTree,0,0,Normal
0.118960481,DNS,192.168.0.101,192.168.0.1,56907.0,53.0,83,49.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.711296,DecisionTree,0,0,Normal
0.0209595,DNS,192.168.0.1,192.168.0.101,53.0,56907.0,193,159.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823863.7322557,DecisionTree,0,0,Normal
0.001412944,TCP,192.168.0.101,23.218.213.18,52599.0,80.0,66,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1786823863.7336683,DecisionTree,0,0,Normal
0.020623037,TCP,23.218.213.18,192.168.0.101,80.0,52599.0,66,-2.0,54.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1786823863.7542915,DecisionTree,0,0,Normal
0.000895982,TCP,192.168.0.101,23.218.213.18,52599.0,80.0,60,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786823863.7551875,DecisionTree,0,0,Normal
5.796e-06,HTTP,192.168.0.101,23.218.213.18,52599.0,80.0,208,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1786823863.7551932,DecisionTree,0,0,Normal
0.021016741,TCP,23.218.213.18,192.168.0.101,80.0,52599.0,60,-2.0,54.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786823863.77621,DecisionTree,0,0,Normal
0.000278241,HTTP,23.218.213.18,192.168.0.101,80.0,52599.0,241,-2.0,54.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1786823863.7764883,DecisionTree,0,0,Normal
0.000108092,TCP,23.218.213.18,192.168.0.101,80.0,52599.0,60,-2.0,54.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1786823863.7765963,DecisionTree,0,0,Normal
0.000487019,TCP,192.168.0.101,23.218.213.18,52599.0,80.0,60,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786823863.7770832,DecisionTree,0,0,Normal
9.2e-08,TCP,192.168.0.101,23.218.213.18,52599.0,80.0,60,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1786823863.7770834,DecisionTree,0,0,Normal
0.314924334,TCP,192.168.0.101,23.218.213.18,52599.0,80.0,60,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1786823864.092008,DecisionTree,0,0,Normal
0.015311611,ARP,0.0.0.0,192.168.0.101,-2.0,-2.0,60,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823864.1073194,DecisionTree,1,1,Ataque
0.006627611,TCP,23.218.213.18,192.168.0.101,80.0,52599.0,60,-2.0,54.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786823864.113947,DecisionTree,0,0,Normal
0.005141241,LLMNR,fe80::9dfb:dcbb:1ed0:d677,ff02::1:3,-2.0,-2.0,89,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823864.1190882,DecisionTree,0,0,Normal
0.000109333,LLMNR,192.168.0.101,224.0.0.252,-2.0,-2.0,69,35.0,1.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823864.1191976,DecisionTree,0,0,Normal
0.006968741,DNS,192.168.0.101,192.168.0.1,65433.0,53.0,75,41.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823864.1261663,DecisionTree,0,0,Normal
0.000281537,DNS,192.168.0.101,192.168.0.1,63185.0,53.0,75,41.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786823864.126448,DecisionTree,0,0,Normal
