delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,5229,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3219402,DecisionTree,1,1,Ataque
0.002235148,TCP,192.168.0.103,192.168.0.101,5230,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3241754,DecisionTree,1,1,Ataque
0.004465759,TCP,192.168.0.103,192.168.0.101,5231,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3286412,DecisionTree,1,1,Ataque
0.002772944,TCP,192.168.0.103,192.168.0.101,5232,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.331414,DecisionTree,1,1,Ataque
0.002475593,TCP,192.168.0.103,192.168.0.101,5233,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3338895,DecisionTree,1,1,Ataque
0.002284185,TCP,192.168.0.103,192.168.0.101,5234,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3361738,DecisionTree,1,1,Ataque
0.002883426,TCP,192.168.0.103,192.168.0.101,5235,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3390572,DecisionTree,1,1,Ataque
0.002166241,TCP,192.168.0.103,192.168.0.101,5236,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3412237,DecisionTree,1,1,Ataque
0.002360722,TCP,192.168.0.103,192.168.0.101,5237,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3435843,DecisionTree,1,1,Ataque
0.003050037,TCP,192.168.0.103,192.168.0.101,5238,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3466344,DecisionTree,1,1,Ataque
0.002222352,TCP,192.168.0.103,192.168.0.101,5239,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3488567,DecisionTree,1,1,Ataque
0.002161111,TCP,192.168.0.103,192.168.0.101,5240,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3510177,DecisionTree,1,1,Ataque
0.002096722,TCP,192.168.0.103,192.168.0.101,5241,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3531144,DecisionTree,1,1,Ataque
0.003971797,TCP,192.168.0.103,192.168.0.101,5242,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.3570862,DecisionTree,1,1,Ataque
0.003278555,TCP,192.168.0.103,192.168.0.101,5243,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786824496.360365,DecisionTree,1,1,Ataque
