delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,UDP,192.168.0.103,192.168.0.101,7433,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.6882508,DecisionTree,0,0,Normal
0.001340482,UDP,192.168.0.103,192.168.0.101,7434,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.6895912,DecisionTree,0,0,Normal
0.001044648,UDP,192.168.0.103,192.168.0.101,7435,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.690636,DecisionTree,0,0,Normal
0.003597204,UDP,192.168.0.103,192.168.0.101,7436,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.6942332,DecisionTree,0,0,Normal
0.003361389,UDP,192.168.0.103,192.168.0.101,7437,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.6975944,DecisionTree,0,0,Normal
0.003087018,UDP,192.168.0.103,192.168.0.101,7438,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7006817,DecisionTree,0,0,Normal
0.001327093,UDP,192.168.0.103,192.168.0.101,7439,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7020085,DecisionTree,0,0,Normal
0.001075296,UDP,192.168.0.103,192.168.0.101,7440,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.703084,DecisionTree,0,0,Normal
0.002291148,UDP,192.168.0.103,192.168.0.101,7441,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7053752,DecisionTree,0,0,Normal
0.002063482,UDP,192.168.0.103,192.168.0.101,7442,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7074385,DecisionTree,0,0,Normal
0.001628926,UDP,192.168.0.103,192.168.0.101,7443,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7090676,DecisionTree,0,0,Normal
0.001384203,UDP,192.168.0.103,192.168.0.101,7444,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7104516,DecisionTree,0,0,Normal
0.001097278,UDP,192.168.0.103,192.168.0.101,7445,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7115488,DecisionTree,0,0,Normal
0.001415093,UDP,192.168.0.103,192.168.0.101,7446,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.712964,DecisionTree,0,0,Normal
0.001273333,UDP,192.168.0.103,192.168.0.101,7447,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7142377,DecisionTree,0,0,Normal
0.001035741,UDP,192.168.0.103,192.168.0.101,7448,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7152731,DecisionTree,0,0,Normal
0.001735796,UDP,192.168.0.103,192.168.0.101,7449,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786824748.7170088,DecisionTree,0,0,Normal
