delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,7943,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1537197,DecisionTree,1,1,Ataque
0.001059667,TCP,192.168.0.103,192.168.0.101,7944,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1547792,DecisionTree,1,1,Ataque
0.00170937,TCP,192.168.0.103,192.168.0.101,7945,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.156489,DecisionTree,1,1,Ataque
0.001085241,TCP,192.168.0.103,192.168.0.101,7946,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.157574,DecisionTree,1,1,Ataque
0.001069574,TCP,192.168.0.103,192.168.0.101,7947,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1586435,DecisionTree,1,1,Ataque
0.001050944,TCP,192.168.0.103,192.168.0.101,7948,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1596944,DecisionTree,1,1,Ataque
0.001152259,TCP,192.168.0.103,192.168.0.101,7949,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1608467,DecisionTree,1,1,Ataque
0.000965019,TCP,192.168.0.103,192.168.0.101,7950,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1618116,DecisionTree,1,1,Ataque
0.00099587,TCP,192.168.0.103,192.168.0.101,7951,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1628077,DecisionTree,1,1,Ataque
0.001039241,TCP,192.168.0.103,192.168.0.101,7952,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1638467,DecisionTree,1,1,Ataque
0.001043093,TCP,192.168.0.103,192.168.0.101,7953,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.16489,DecisionTree,1,1,Ataque
0.001044389,TCP,192.168.0.103,192.168.0.101,7954,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1659343,DecisionTree,1,1,Ataque
0.001044425,TCP,192.168.0.103,192.168.0.101,7955,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1669788,DecisionTree,1,1,Ataque
0.001064112,TCP,192.168.0.103,192.168.0.101,7956,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.168043,DecisionTree,1,1,Ataque
0.001095629,TCP,192.168.0.103,192.168.0.101,7957,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1691384,DecisionTree,1,1,Ataque
0.001044852,TCP,192.168.0.103,192.168.0.101,7958,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1701832,DecisionTree,1,1,Ataque
0.001045963,TCP,192.168.0.103,192.168.0.101,7959,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1712291,DecisionTree,1,1,Ataque
0.001043648,TCP,192.168.0.103,192.168.0.101,7960,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.172273,DecisionTree,1,1,Ataque
0.001074111,TCP,192.168.0.103,192.168.0.101,7961,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1733472,DecisionTree,1,1,Ataque
0.001040334,TCP,192.168.0.103,192.168.0.101,7962,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1743877,DecisionTree,1,1,Ataque
0.001052129,TCP,192.168.0.103,192.168.0.101,7963,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1754396,DecisionTree,1,1,Ataque
0.001033741,TCP,192.168.0.103,192.168.0.101,7964,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1764731,DecisionTree,1,1,Ataque
0.0011155,TCP,192.168.0.103,192.168.0.101,7965,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1775887,DecisionTree,1,1,Ataque
0.000958574,TCP,192.168.0.103,192.168.0.101,7966,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1785471,DecisionTree,1,1,Ataque
0.001042611,TCP,192.168.0.103,192.168.0.101,7967,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.17959,DecisionTree,1,1,Ataque
0.001023037,TCP,192.168.0.103,192.168.0.101,7968,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.180613,DecisionTree,1,1,Ataque
0.001049648,TCP,192.168.0.103,192.168.0.101,7969,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1816626,DecisionTree,1,1,Ataque
0.001031445,TCP,192.168.0.103,192.168.0.101,7970,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.182694,DecisionTree,1,1,Ataque
0.001033407,TCP,192.168.0.103,192.168.0.101,7971,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1837275,DecisionTree,1,1,Ataque
0.001048574,TCP,192.168.0.103,192.168.0.101,7972,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.184776,DecisionTree,1,1,Ataque
0.001656704,TCP,192.168.0.103,192.168.0.101,7973,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1864328,DecisionTree,1,1,Ataque
0.001420037,TCP,192.168.0.103,192.168.0.101,7974,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1878529,DecisionTree,1,1,Ataque
0.001119593,TCP,192.168.0.103,192.168.0.101,7975,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1889725,DecisionTree,1,1,Ataque
0.001073463,TCP,192.168.0.103,192.168.0.101,7976,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.190046,DecisionTree,1,1,Ataque
0.001044592,TCP,192.168.0.103,192.168.0.101,7977,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1910903,DecisionTree,1,1,Ataque
0.001044463,TCP,192.168.0.103,192.168.0.101,7978,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1921349,DecisionTree,1,1,Ataque
0.001081204,TCP,192.168.0.103,192.168.0.101,7979,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.193216,DecisionTree,1,1,Ataque
0.001052889,TCP,192.168.0.103,192.168.0.101,7980,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.194269,DecisionTree,1,1,Ataque
0.001012926,TCP,192.168.0.103,192.168.0.101,7981,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.195282,DecisionTree,1,1,Ataque
0.001069574,TCP,192.168.0.103,192.168.0.101,7982,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1963515,DecisionTree,1,1,Ataque
0.001049444,TCP,192.168.0.103,192.168.0.101,7983,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.197401,DecisionTree,1,1,Ataque
0.001055148,TCP,192.168.0.103,192.168.0.101,7984,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.198456,DecisionTree,1,1,Ataque
0.001041,TCP,192.168.0.103,192.168.0.101,7985,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.1994972,DecisionTree,1,1,Ataque
0.001032593,TCP,192.168.0.103,192.168.0.101,7986,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2005296,DecisionTree,1,1,Ataque
0.001063741,TCP,192.168.0.103,192.168.0.101,7987,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2015934,DecisionTree,1,1,Ataque
0.001037703,TCP,192.168.0.103,192.168.0.101,7988,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2026312,DecisionTree,1,1,Ataque
0.001013223,TCP,192.168.0.103,192.168.0.101,7989,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2036445,DecisionTree,1,1,Ataque
0.001038481,TCP,192.168.0.103,192.168.0.101,7990,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2046828,DecisionTree,1,1,Ataque
0.001050333,TCP,192.168.0.103,192.168.0.101,7991,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2057333,DecisionTree,1,1,Ataque
0.001043408,TCP,192.168.0.103,192.168.0.101,7992,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2067766,DecisionTree,1,1,Ataque
0.001069166,TCP,192.168.0.103,192.168.0.101,7993,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2078457,DecisionTree,1,1,Ataque
0.001044389,TCP,192.168.0.103,192.168.0.101,7994,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.20889,DecisionTree,1,1,Ataque
0.001049982,TCP,192.168.0.103,192.168.0.101,7995,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.20994,DecisionTree,1,1,Ataque
0.001059704,TCP,192.168.0.103,192.168.0.101,7996,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2109995,DecisionTree,1,1,Ataque
0.001021055,TCP,192.168.0.103,192.168.0.101,7997,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2120209,DecisionTree,1,1,Ataque
0.001070222,TCP,192.168.0.103,192.168.0.101,7998,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2130911,DecisionTree,1,1,Ataque
0.001033463,TCP,192.168.0.103,192.168.0.101,7999,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.214125,DecisionTree,1,1,Ataque
0.001054815,TCP,192.168.0.103,192.168.0.101,8000,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2151794,DecisionTree,1,1,Ataque
0.001035315,TCP,192.168.0.103,192.168.0.101,8001,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.216215,DecisionTree,1,1,Ataque
0.001062463,TCP,192.168.0.103,192.168.0.101,8002,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2172773,DecisionTree,1,1,Ataque
0.001039111,TCP,192.168.0.103,192.168.0.101,8003,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786824954.2183163,DecisionTree,1,1,Ataque
