delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3901105,ExtraTrees,1,1,Ataque
0.000728223,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3908384,ExtraTrees,0,0,Normal
0.000305555,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.391144,ExtraTrees,1,1,Ataque
0.000705111,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3918493,ExtraTrees,0,0,Normal
0.000556556,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3924055,ExtraTrees,1,1,Ataque
0.000662833,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3930686,ExtraTrees,0,0,Normal
0.006077796,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3991463,ExtraTrees,1,1,Ataque
0.000268575,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.3994148,ExtraTrees,0,0,Normal
0.000766629,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4001815,ExtraTrees,1,1,Ataque
0.000725982,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4009075,ExtraTrees,0,0,Normal
0.004071055,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4049785,ExtraTrees,1,1,Ataque
0.000718537,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.405697,ExtraTrees,0,0,Normal
0.000429648,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4061267,ExtraTrees,1,1,Ataque
0.000543945,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4066708,ExtraTrees,0,0,Normal
0.001031833,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4077027,ExtraTrees,1,1,Ataque
0.00032813,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4080307,ExtraTrees,0,0,Normal
0.000839926,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4088707,ExtraTrees,1,1,Ataque
0.0008265,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4096973,ExtraTrees,0,0,Normal
0.000241777,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4099388,ExtraTrees,1,1,Ataque
0.000739556,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4106784,ExtraTrees,0,0,Normal
0.000362407,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4110408,ExtraTrees,1,1,Ataque
0.000752371,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4117932,ExtraTrees,0,0,Normal
0.000349315,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4121425,ExtraTrees,1,1,Ataque
0.000618796,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4127612,ExtraTrees,0,0,Normal
0.000563704,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.413325,ExtraTrees,1,1,Ataque
0.000405444,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4137304,ExtraTrees,0,0,Normal
0.001138463,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.414869,ExtraTrees,1,1,Ataque
0.00079613,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4156651,ExtraTrees,0,0,Normal
0.000375463,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4160404,ExtraTrees,1,1,Ataque
0.000737814,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4167783,ExtraTrees,0,0,Normal
0.001281,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.418059,ExtraTrees,1,1,Ataque
0.000743426,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4188027,ExtraTrees,0,0,Normal
0.000795797,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64.0,8.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826452.4195986,ExtraTrees,1,1,Ataque
