delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.101,104.208.203.89,52602.0,443.0,60,-2.0,128.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786825321.8067896,ExtraTrees,0,0,Normal
0.091398037,TCP,104.208.203.89,192.168.0.101,443.0,52602.0,66,-2.0,112.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1786825321.8981876,ExtraTrees,0,0,Normal
31.206503592,DNS,192.168.0.101,192.168.0.1,59810.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1046913,ExtraTrees,0,0,Normal
0.019663278,DNS,192.168.0.1,192.168.0.101,53.0,59810.0,141,107.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1243544,ExtraTrees,0,0,Normal
0.002994908,DNS,192.168.0.101,192.168.0.1,60020.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1273494,ExtraTrees,0,0,Normal
7.03e-07,DNS,192.168.0.101,192.168.0.1,60747.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.12735,ExtraTrees,0,0,Normal
0.000229982,DNS,192.168.0.1,192.168.0.101,53.0,60747.0,110,76.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.12758,ExtraTrees,0,0,Normal
0.01957787,DNS,192.168.0.1,192.168.0.101,53.0,60020.0,191,157.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.147158,ExtraTrees,0,0,Normal
0.003384796,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1505427,ExtraTrees,0,0,Normal
0.006178093,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1567209,ExtraTrees,0,0,Normal
0.001258426,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,119,85.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.1579792,ExtraTrees,0,0,Normal
0.078554796,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,82,48.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.236534,ExtraTrees,0,0,Normal
0.007258648,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2437928,ExtraTrees,0,0,Normal
6.8908e-05,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2438617,ExtraTrees,0,0,Normal
0.000101277,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2439628,ExtraTrees,0,0,Normal
0.000104963,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.244068,ExtraTrees,0,0,Normal
0.000104093,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.244172,ExtraTrees,0,0,Normal
0.000110074,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.244282,ExtraTrees,0,0,Normal
8.6482e-05,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1131,1097.0,58.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2443683,ExtraTrees,0,0,Normal
0.000764166,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2451327,ExtraTrees,0,0,Normal
1.85e-07,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,81,47.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2451327,ExtraTrees,0,0,Normal
0.001030963,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,204,170.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2461638,ExtraTrees,0,0,Normal
2.4056e-05,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1288,1254.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2461877,ExtraTrees,0,0,Normal
1.4778e-05,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1288,1254.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786825353.2462027,ExtraTrees,0,0,Normal
