delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,5777,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0375044,ExtraTrees,1,1,Ataque
0.002169111,TCP,192.168.0.103,192.168.0.101,5778,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0396736,ExtraTrees,1,1,Ataque
0.002027278,TCP,192.168.0.103,192.168.0.101,5779,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0417008,ExtraTrees,1,1,Ataque
0.002353093,TCP,192.168.0.103,192.168.0.101,5780,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.044054,ExtraTrees,1,1,Ataque
0.002820537,TCP,192.168.0.103,192.168.0.101,5781,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0468743,ExtraTrees,1,1,Ataque
0.002281389,TCP,192.168.0.103,192.168.0.101,5782,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0491557,ExtraTrees,1,1,Ataque
0.002065592,TCP,192.168.0.103,192.168.0.101,5783,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0512214,ExtraTrees,1,1,Ataque
0.002118149,TCP,192.168.0.103,192.168.0.101,5784,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0533395,ExtraTrees,1,1,Ataque
0.004930444,TCP,192.168.0.103,192.168.0.101,5785,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.05827,ExtraTrees,1,1,Ataque
0.002143037,TCP,192.168.0.103,192.168.0.101,5786,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.060413,ExtraTrees,1,1,Ataque
0.002630185,TCP,192.168.0.103,192.168.0.101,5787,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.063043,ExtraTrees,1,1,Ataque
0.002145148,TCP,192.168.0.103,192.168.0.101,5788,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0651884,ExtraTrees,1,1,Ataque
0.002431093,TCP,192.168.0.103,192.168.0.101,5789,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0676196,ExtraTrees,1,1,Ataque
0.002073981,TCP,192.168.0.103,192.168.0.101,5790,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0696936,ExtraTrees,1,1,Ataque
0.00287913,TCP,192.168.0.103,192.168.0.101,5791,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0725727,ExtraTrees,1,1,Ataque
0.002618093,TCP,192.168.0.103,192.168.0.101,5792,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0751908,ExtraTrees,1,1,Ataque
0.002086333,TCP,192.168.0.103,192.168.0.101,5793,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.077277,ExtraTrees,1,1,Ataque
0.00233063,TCP,192.168.0.103,192.168.0.101,5794,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0796075,ExtraTrees,1,1,Ataque
0.002548018,TCP,192.168.0.103,192.168.0.101,5795,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0821557,ExtraTrees,1,1,Ataque
0.002389037,TCP,192.168.0.103,192.168.0.101,5796,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.084545,ExtraTrees,1,1,Ataque
0.002557185,TCP,192.168.0.103,192.168.0.101,5797,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.087102,ExtraTrees,1,1,Ataque
0.002194445,TCP,192.168.0.103,192.168.0.101,5798,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0892963,ExtraTrees,1,1,Ataque
0.002392481,TCP,192.168.0.103,192.168.0.101,5799,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0916889,ExtraTrees,1,1,Ataque
0.002111297,TCP,192.168.0.103,192.168.0.101,5800,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.0938,ExtraTrees,1,1,Ataque
0.002089092,TCP,192.168.0.103,192.168.0.101,5801,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.095889,ExtraTrees,1,1,Ataque
0.003870056,TCP,192.168.0.103,192.168.0.101,5802,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.099759,ExtraTrees,1,1,Ataque
0.003195037,TCP,192.168.0.103,192.168.0.101,5803,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1029544,ExtraTrees,1,1,Ataque
0.00301924,TCP,192.168.0.103,192.168.0.101,5804,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1059735,ExtraTrees,1,1,Ataque
0.002170871,TCP,192.168.0.103,192.168.0.101,5805,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1081443,ExtraTrees,1,1,Ataque
0.006554889,TCP,192.168.0.103,192.168.0.101,5806,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1146991,ExtraTrees,1,1,Ataque
0.004908963,TCP,192.168.0.103,192.168.0.101,5807,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1196082,ExtraTrees,1,1,Ataque
0.00245137,TCP,192.168.0.103,192.168.0.101,5808,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1220596,ExtraTrees,1,1,Ataque
0.002249389,TCP,192.168.0.103,192.168.0.101,5809,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.124309,ExtraTrees,1,1,Ataque
0.004746055,TCP,192.168.0.103,192.168.0.101,5810,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1290553,ExtraTrees,1,1,Ataque
0.003191723,TCP,192.168.0.103,192.168.0.101,5811,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786825827.1322467,ExtraTrees,1,1,Ataque
