delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,UDP,192.168.0.103,192.168.0.101,8124,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7592456,ExtraTrees,0,0,Normal
0.00119974,UDP,192.168.0.103,192.168.0.101,8125,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.760445,ExtraTrees,0,0,Normal
0.001182963,UDP,192.168.0.103,192.168.0.101,8126,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7616282,ExtraTrees,0,0,Normal
0.001139778,UDP,192.168.0.103,192.168.0.101,8127,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.762768,ExtraTrees,0,0,Normal
0.001681389,UDP,192.168.0.103,192.168.0.101,8128,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7644494,ExtraTrees,0,0,Normal
0.001539574,UDP,192.168.0.103,192.168.0.101,8129,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.765989,ExtraTrees,0,0,Normal
0.001300667,UDP,192.168.0.103,192.168.0.101,8130,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7672896,ExtraTrees,0,0,Normal
0.001036185,UDP,192.168.0.103,192.168.0.101,8131,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7683258,ExtraTrees,0,0,Normal
0.001141907,UDP,192.168.0.103,192.168.0.101,8132,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7694676,ExtraTrees,0,0,Normal
0.001098797,UDP,192.168.0.103,192.168.0.101,8133,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7705665,ExtraTrees,0,0,Normal
0.00101837,UDP,192.168.0.103,192.168.0.101,8134,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7715847,ExtraTrees,0,0,Normal
0.001793722,UDP,192.168.0.103,192.168.0.101,8135,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7733786,ExtraTrees,0,0,Normal
0.001380556,UDP,192.168.0.103,192.168.0.101,8136,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7747593,ExtraTrees,0,0,Normal
0.001036815,UDP,192.168.0.103,192.168.0.101,8137,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.775796,ExtraTrees,0,0,Normal
0.001148407,UDP,192.168.0.103,192.168.0.101,8138,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7769444,ExtraTrees,0,0,Normal
0.001318926,UDP,192.168.0.103,192.168.0.101,8139,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.778263,ExtraTrees,0,0,Normal
0.001139722,UDP,192.168.0.103,192.168.0.101,8140,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.779403,ExtraTrees,0,0,Normal
0.00585313,UDP,192.168.0.103,192.168.0.101,8141,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.785256,ExtraTrees,0,0,Normal
0.005678981,UDP,192.168.0.103,192.168.0.101,8142,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7909353,ExtraTrees,0,0,Normal
0.005463463,UDP,192.168.0.103,192.168.0.101,8143,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.7963986,ExtraTrees,0,0,Normal
0.004452111,UDP,192.168.0.103,192.168.0.101,8144,53,60,8,64,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826077.8008509,ExtraTrees,0,0,Normal
