delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8420117,RandomForest,1,1,Ataque
0.000782741,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8427944,RandomForest,0,0,Normal
0.000354111,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8431485,RandomForest,1,1,Ataque
0.000685148,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8438337,RandomForest,0,0,Normal
0.000353723,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8441873,RandomForest,1,1,Ataque
0.000699463,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8448868,RandomForest,0,0,Normal
0.000377963,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.845265,RandomForest,1,1,Ataque
0.000780185,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8460448,RandomForest,0,0,Normal
0.00028124,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.846326,RandomForest,1,1,Ataque
0.000701612,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8470275,RandomForest,0,0,Normal
0.000430037,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.847458,RandomForest,1,1,Ataque
0.000789259,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.848247,RandomForest,0,0,Normal
0.000253667,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8485007,RandomForest,1,1,Ataque
0.000695333,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.849196,RandomForest,0,0,Normal
0.000383018,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.849579,RandomForest,1,1,Ataque
0.000779611,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8503587,RandomForest,0,0,Normal
0.000630334,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.850989,RandomForest,1,1,Ataque
0.000737741,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8517268,RandomForest,0,0,Normal
0.000410129,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8521369,RandomForest,1,1,Ataque
0.000594278,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8527312,RandomForest,0,0,Normal
0.012205981,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,400,366.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8649373,RandomForest,0,0,Normal
0.000183482,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8651206,RandomForest,0,0,Normal
0.000162426,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,328,294.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.865283,RandomForest,0,0,Normal
0.000210352,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,392,358.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8654933,RandomForest,0,0,Normal
0.00026574,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,376,342.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8657591,RandomForest,0,0,Normal
0.000161982,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8659213,RandomForest,0,0,Normal
0.000187093,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,408,374.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8661082,RandomForest,0,0,Normal
0.00019974,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,396,362.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.866308,RandomForest,0,0,Normal
0.000246074,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,337,303.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.866554,RandomForest,0,0,Normal
0.000230741,SSDP,192.168.0.1,239.255.255.250,-2.0,-2.0,390,356.0,4,-2.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.8667848,RandomForest,0,0,Normal
0.037763389,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.9045482,RandomForest,1,1,Ataque
0.000781407,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.9053297,RandomForest,0,0,Normal
0.000327037,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.9056566,RandomForest,1,1,Ataque
0.000786908,ICMP,192.168.0.101,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.9064436,RandomForest,0,0,Normal
0.000697352,ICMP,192.168.0.103,192.168.0.101,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786827421.9071407,RandomForest,1,1,Ataque
