delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,DNS,192.168.0.101,192.168.0.1,56790.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7549767,RandomForest,0,0,Normal
0.000541149,ARP,192.168.0.101,192.168.0.1,-2.0,-2.0,60,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7558336,RandomForest,0,0,Normal
0.000119222,DNS,192.168.0.1,192.168.0.101,53.0,56790.0,110,76.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7559528,RandomForest,0,0,Normal
0.002440018,DNS,192.168.0.101,192.168.0.1,58082.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7583928,RandomForest,0,0,Normal
4.08e-07,DNS,192.168.0.101,192.168.0.1,65100.0,53.0,94,60.0,128.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7583933,RandomForest,0,0,Normal
0.000281222,DNS,192.168.0.1,192.168.0.101,53.0,65100.0,110,76.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7586746,RandomForest,0,0,Normal
0.009282463,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.767957,RandomForest,0,0,Normal
1.3796e-05,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,1292,1258.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7679708,RandomForest,0,0,Normal
0.001195778,QUIC,192.168.0.101,172.217.157.117,-2.0,-2.0,121,87.0,128.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7691667,RandomForest,0,0,Normal
0.010387833,DNS,192.168.0.1,192.168.0.101,53.0,58082.0,191,157.0,64.0,-2.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.7795544,RandomForest,0,0,Normal
0.072983315,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,82,48.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.8525376,RandomForest,0,0,Normal
0.001651037,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.854189,RandomForest,0,0,Normal
0.000104908,QUIC,172.217.157.117,192.168.0.101,-2.0,-2.0,1292,1258.0,59.0,-2.0,32.0,0.0,1.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786826640.8542936,RandomForest,0,0,Normal
