delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,7719,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.93617,RandomForest,1,1,Ataque
0.001263611,TCP,192.168.0.103,192.168.0.101,7720,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9374335,RandomForest,1,1,Ataque
0.001126148,TCP,192.168.0.103,192.168.0.101,7721,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9385595,RandomForest,1,1,Ataque
0.004118352,TCP,192.168.0.103,192.168.0.101,7722,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.942678,RandomForest,1,1,Ataque
0.003356666,TCP,192.168.0.103,192.168.0.101,7723,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.946035,RandomForest,1,1,Ataque
0.003398149,TCP,192.168.0.103,192.168.0.101,7724,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9494328,RandomForest,1,1,Ataque
0.003159074,TCP,192.168.0.103,192.168.0.101,7725,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.952592,RandomForest,1,1,Ataque
0.001192463,TCP,192.168.0.103,192.168.0.101,7726,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9537845,RandomForest,1,1,Ataque
0.001051518,TCP,192.168.0.103,192.168.0.101,7727,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.954836,RandomForest,1,1,Ataque
0.002473667,TCP,192.168.0.103,192.168.0.101,7728,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9573095,RandomForest,1,1,Ataque
0.003057389,TCP,192.168.0.103,192.168.0.101,7729,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9603667,RandomForest,1,1,Ataque
0.00116837,TCP,192.168.0.103,192.168.0.101,7730,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9615352,RandomForest,1,1,Ataque
0.001064296,TCP,192.168.0.103,192.168.0.101,7731,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9625995,RandomForest,1,1,Ataque
0.001624556,TCP,192.168.0.103,192.168.0.101,7732,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.964224,RandomForest,1,1,Ataque
0.001155574,TCP,192.168.0.103,192.168.0.101,7733,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9653797,RandomForest,1,1,Ataque
0.001155148,TCP,192.168.0.103,192.168.0.101,7734,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9665349,RandomForest,1,1,Ataque
0.001103963,TCP,192.168.0.103,192.168.0.101,7735,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9676387,RandomForest,1,1,Ataque
0.001265296,TCP,192.168.0.103,192.168.0.101,7736,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.968904,RandomForest,1,1,Ataque
0.001085852,TCP,192.168.0.103,192.168.0.101,7737,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.96999,RandomForest,1,1,Ataque
0.001079408,TCP,192.168.0.103,192.168.0.101,7738,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.971069,RandomForest,1,1,Ataque
0.014493148,TCP,192.168.0.103,192.168.0.101,7739,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9855623,RandomForest,1,1,Ataque
0.001564074,TCP,192.168.0.103,192.168.0.101,7740,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9871264,RandomForest,1,1,Ataque
0.003583444,TCP,192.168.0.103,192.168.0.101,7741,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.99071,RandomForest,1,1,Ataque
0.001103815,TCP,192.168.0.103,192.168.0.101,7742,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.991814,RandomForest,1,1,Ataque
0.001450722,TCP,192.168.0.103,192.168.0.101,7743,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9932644,RandomForest,1,1,Ataque
0.001228204,TCP,192.168.0.103,192.168.0.101,7744,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9944928,RandomForest,1,1,Ataque
0.001198111,TCP,192.168.0.103,192.168.0.101,7745,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9956908,RandomForest,1,1,Ataque
0.001282574,TCP,192.168.0.103,192.168.0.101,7746,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9969735,RandomForest,1,1,Ataque
0.001065445,TCP,192.168.0.103,192.168.0.101,7747,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827227.9980388,RandomForest,1,1,Ataque
0.005956611,TCP,192.168.0.103,192.168.0.101,7748,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0039957,RandomForest,1,1,Ataque
0.0014245,TCP,192.168.0.103,192.168.0.101,7749,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.00542,RandomForest,1,1,Ataque
0.0011525,TCP,192.168.0.103,192.168.0.101,7750,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0065725,RandomForest,1,1,Ataque
0.004723703,TCP,192.168.0.103,192.168.0.101,7751,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0112965,RandomForest,1,1,Ataque
0.004082074,TCP,192.168.0.103,192.168.0.101,7752,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0153782,RandomForest,1,1,Ataque
0.003789278,TCP,192.168.0.103,192.168.0.101,7753,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0191677,RandomForest,1,1,Ataque
0.003635648,TCP,192.168.0.103,192.168.0.101,7754,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0228033,RandomForest,1,1,Ataque
0.003640482,TCP,192.168.0.103,192.168.0.101,7755,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0264435,RandomForest,1,1,Ataque
0.003462759,TCP,192.168.0.103,192.168.0.101,7756,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0299065,RandomForest,1,1,Ataque
0.00327713,TCP,192.168.0.103,192.168.0.101,7757,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0331836,RandomForest,1,1,Ataque
0.003031778,TCP,192.168.0.103,192.168.0.101,7758,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0362153,RandomForest,1,1,Ataque
0.002818796,TCP,192.168.0.103,192.168.0.101,7759,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.039034,RandomForest,1,1,Ataque
0.002578092,TCP,192.168.0.103,192.168.0.101,7760,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.041612,RandomForest,1,1,Ataque
0.002488889,TCP,192.168.0.103,192.168.0.101,7761,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0441012,RandomForest,1,1,Ataque
0.002322723,TCP,192.168.0.103,192.168.0.101,7762,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.046424,RandomForest,1,1,Ataque
0.002230314,TCP,192.168.0.103,192.168.0.101,7763,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.048654,RandomForest,1,1,Ataque
0.001168148,TCP,192.168.0.103,192.168.0.101,7764,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0498223,RandomForest,1,1,Ataque
0.001018223,TCP,192.168.0.103,192.168.0.101,7765,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0508404,RandomForest,1,1,Ataque
0.001794759,TCP,192.168.0.103,192.168.0.101,7766,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0526352,RandomForest,1,1,Ataque
0.001499963,TCP,192.168.0.103,192.168.0.101,7767,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.054135,RandomForest,1,1,Ataque
0.001053167,TCP,192.168.0.103,192.168.0.101,7768,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0551884,RandomForest,1,1,Ataque
0.001531333,TCP,192.168.0.103,192.168.0.101,7769,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0567195,RandomForest,1,1,Ataque
0.001334463,TCP,192.168.0.103,192.168.0.101,7770,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0580542,RandomForest,1,1,Ataque
0.001092333,TCP,192.168.0.103,192.168.0.101,7771,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0591464,RandomForest,1,1,Ataque
0.001368334,TCP,192.168.0.103,192.168.0.101,7772,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0605147,RandomForest,1,1,Ataque
0.001346685,TCP,192.168.0.103,192.168.0.101,7773,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0618615,RandomForest,1,1,Ataque
0.001074592,TCP,192.168.0.103,192.168.0.101,7774,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.062936,RandomForest,1,1,Ataque
0.004732371,TCP,192.168.0.103,192.168.0.101,7775,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0676684,RandomForest,1,1,Ataque
0.005305611,TCP,192.168.0.103,192.168.0.101,7776,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.072974,RandomForest,1,1,Ataque
0.001179074,TCP,192.168.0.103,192.168.0.101,7777,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0741532,RandomForest,1,1,Ataque
0.004640222,TCP,192.168.0.103,192.168.0.101,7778,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0787933,RandomForest,1,1,Ataque
0.003634574,TCP,192.168.0.103,192.168.0.101,7779,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.082428,RandomForest,1,1,Ataque
0.003524871,TCP,192.168.0.103,192.168.0.101,7780,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0859528,RandomForest,1,1,Ataque
0.003407148,TCP,192.168.0.103,192.168.0.101,7781,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.08936,RandomForest,1,1,Ataque
0.00099774,TCP,192.168.0.103,192.168.0.101,7782,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0903575,RandomForest,1,1,Ataque
0.003311963,TCP,192.168.0.103,192.168.0.101,7783,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0936697,RandomForest,1,1,Ataque
0.002512037,TCP,192.168.0.103,192.168.0.101,7784,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0961816,RandomForest,1,1,Ataque
0.001329093,TCP,192.168.0.103,192.168.0.101,7785,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.0975108,RandomForest,1,1,Ataque
0.001198537,TCP,192.168.0.103,192.168.0.101,7786,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.098709,RandomForest,1,1,Ataque
0.001556204,TCP,192.168.0.103,192.168.0.101,7787,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1002655,RandomForest,1,1,Ataque
0.001459907,TCP,192.168.0.103,192.168.0.101,7788,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1017256,RandomForest,1,1,Ataque
0.001200463,TCP,192.168.0.103,192.168.0.101,7789,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.102926,RandomForest,1,1,Ataque
0.00150613,TCP,192.168.0.103,192.168.0.101,7790,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.104432,RandomForest,1,1,Ataque
0.001402592,TCP,192.168.0.103,192.168.0.101,7791,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1058347,RandomForest,1,1,Ataque
0.00115513,TCP,192.168.0.103,192.168.0.101,7792,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.10699,RandomForest,1,1,Ataque
0.001565074,TCP,192.168.0.103,192.168.0.101,7793,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1085548,RandomForest,1,1,Ataque
0.00138863,TCP,192.168.0.103,192.168.0.101,7794,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1099436,RandomForest,1,1,Ataque
0.001108981,TCP,192.168.0.103,192.168.0.101,7795,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1110525,RandomForest,1,1,Ataque
0.001542204,TCP,192.168.0.103,192.168.0.101,7796,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1125948,RandomForest,1,1,Ataque
0.001372481,TCP,192.168.0.103,192.168.0.101,7797,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1139672,RandomForest,1,1,Ataque
0.00111526,TCP,192.168.0.103,192.168.0.101,7798,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1150825,RandomForest,1,1,Ataque
0.001236722,TCP,192.168.0.103,192.168.0.101,7799,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1163192,RandomForest,1,1,Ataque
0.001109092,TCP,192.168.0.103,192.168.0.101,7800,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1174283,RandomForest,1,1,Ataque
0.003697278,TCP,192.168.0.103,192.168.0.101,7801,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1211257,RandomForest,1,1,Ataque
0.001023611,TCP,192.168.0.103,192.168.0.101,7802,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1221492,RandomForest,1,1,Ataque
0.003036389,TCP,192.168.0.103,192.168.0.101,7803,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1251855,RandomForest,1,1,Ataque
5.704e-06,TCP,192.168.0.103,192.168.0.101,7804,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1251912,RandomForest,1,1,Ataque
0.001944315,TCP,192.168.0.103,192.168.0.101,7805,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1271355,RandomForest,1,1,Ataque
0.001539389,TCP,192.168.0.103,192.168.0.101,7806,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1286747,RandomForest,1,1,Ataque
0.001362333,TCP,192.168.0.103,192.168.0.101,7807,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1300373,RandomForest,1,1,Ataque
0.001122315,TCP,192.168.0.103,192.168.0.101,7808,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1311595,RandomForest,1,1,Ataque
0.001473426,TCP,192.168.0.103,192.168.0.101,7809,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.132633,RandomForest,1,1,Ataque
0.001319926,TCP,192.168.0.103,192.168.0.101,7810,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1339529,RandomForest,1,1,Ataque
0.001056537,TCP,192.168.0.103,192.168.0.101,7811,22,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1786827228.1350095,RandomForest,1,1,Ataque
