delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time,modelo_prediccion,prediccion_id,prediccion_binaria,prediccion
0.0,TCP,192.168.0.103,192.168.0.101,4802,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.666672,RandomForest,1,1,Ataque
0.002421223,TCP,192.168.0.103,192.168.0.101,4803,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6690931,RandomForest,1,1,Ataque
0.003172259,TCP,192.168.0.103,192.168.0.101,4804,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6722655,RandomForest,1,1,Ataque
0.002312648,TCP,192.168.0.103,192.168.0.101,4805,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6745782,RandomForest,1,1,Ataque
0.002342685,TCP,192.168.0.103,192.168.0.101,4806,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.676921,RandomForest,1,1,Ataque
0.002804315,TCP,192.168.0.103,192.168.0.101,4807,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6797252,RandomForest,1,1,Ataque
0.00243613,TCP,192.168.0.103,192.168.0.101,4808,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.682161,RandomForest,1,1,Ataque
0.002089851,TCP,192.168.0.103,192.168.0.101,4809,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6842513,RandomForest,1,1,Ataque
0.002060741,TCP,192.168.0.103,192.168.0.101,4810,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.686312,RandomForest,1,1,Ataque
0.00237163,TCP,192.168.0.103,192.168.0.101,4811,80,60,-2.0,64,-2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1786826763.6886835,RandomForest,1,1,Ataque
