delta_time,protocols,ip_src,ip_dst,port_src,port_dst,frame_len,udp_len,ip_ttl,icmp_type,tos,ip_flags_rb,ip_flags_df,ip_flags_mf,tcp_flags_res,tcp_flags_ns,tcp_flags_cwr,tcp_flags_ecn,tcp_flags_urg,tcp_flags_ack,tcp_flags_push,tcp_flags_reset,tcp_flags_syn,tcp_flags_fin,epoch_time
0.0,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.679074
0.001505538,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6805794
0.00016574,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6807451
0.000908389,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6816535
0.000149222,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6818027
0.002622704,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6844256
0.000166204,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6845915
0.000921407,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6855133
0.0001835,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6856966
0.001340315,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6870368
0.000179074,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.687216
0.001431704,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6886475
0.000180389,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.688828
0.00303337,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6918616
0.00017087,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6920323
0.001921482,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6939538
0.000172481,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6941264
0.001554204,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6956804
0.000176648,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6958573
0.003719334,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.6995764
0.000180611,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.699757
0.001090907,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.700848
0.000186852,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7010348
0.001161444,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7021964
0.000202963,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7023993
0.001355611,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.703755
0.000189797,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7039447
0.001689796,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7056344
0.000184204,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.705819
0.001350259,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7071688
0.00017213,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.707341
0.000865611,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.708207
0.000182666,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7083893
0.000911556,ICMP,192.168.0.103,192.168.0.100,-2.0,-2.0,60,-2.0,64,8.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.7093008
0.000184111,ICMP,192.168.0.100,192.168.0.103,-2.0,-2.0,60,-2.0,128,0.0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,1786930872.709485
